"","msa.fips","year","net.earnings.by.place.of.residence"
"new.row.2340","46700",1977,1194713
"new.row.2341","46700",1978,1374783
"new.row.2342","46700",1979,1545787
"new.row.2343","46700",1980,1756971
"new.row.2344","46700",1981,1933213
"new.row.2345","46700",1982,2118404
"new.row.2346","46700",1983,2346073
"new.row.2347","46700",1984,2642151
"new.row.2348","46700",1985,2957669
"new.row.2349","46700",1986,3265001
"new.row.2350","46700",1987,3589124
"new.row.2351","46700",1988,3923350
"new.row.2352","46700",1989,4325994
"new.row.2353","46700",1990,4939727
"new.row.2354","46700",1991,5119236
"new.row.2355","46700",1992,5379378
"new.row.2356","46700",1993,5563979
"new.row.2357","46700",1994,5540928
"new.row.2358","46700",1995,5615710
"new.row.2359","46700",1996,5809692
"new.row.2360","46700",1997,6273019
"new.row.2361","46700",1998,6760509
"new.row.2362","46700",1999,7311995
"new.row.2363","46700",2000,8278419
"new.row.2364","46700",2001,9017225
"new.row.2365","46700",2002,9350680
"new.row.2366","46700",2003,9704823
"new.row.2367","46700",2004,10184975
"new.row.2368","46700",2005,10519640
"new.row.2369","46700",2006,11019983
"new.row.2370","46700",2007,11393569
"new.row.2371","46700",2008,11300100
"new.row.2372","46700",2009,10795230
"new.row.2373","46700",2010,10461318
"new.row.2374","46700",2011,10834368
"new.row.2375","46700",2012,11792668
"new.row.2376","47300",1969,464619
"new.row.2377","47300",1970,499849
"new.row.2378","47300",1971,540717
"new.row.2379","47300",1972,622110
"new.row.2380","47300",1973,744548
"new.row.2381","47300",1974,864150
"new.row.2382","47300",1975,876056
"new.row.2383","47300",1976,990357
"new.row.2384","47300",1977,1096296
"new.row.2385","47300",1978,1252097
"new.row.2386","47300",1979,1503626
"new.row.2387","47300",1980,1599051
"new.row.2388","47300",1981,1569358
"new.row.2389","47300",1982,1675063
"new.row.2390","47300",1983,1667608
"new.row.2391","47300",1984,1834966
"new.row.2392","47300",1985,1920396
"new.row.2393","47300",1986,2074185
"new.row.2394","47300",1987,2384397
"new.row.2395","47300",1988,2539098
"new.row.2396","47300",1989,2648259
"new.row.2397","47300",1990,2977344
"new.row.2398","47300",1991,2965867
"new.row.2399","47300",1992,3388757
"new.row.2400","47300",1993,3432930
"new.row.2401","47300",1994,3647337
"new.row.2402","47300",1995,3699731
"new.row.2403","47300",1996,4066218
"new.row.2404","47300",1997,4164406
"new.row.2405","47300",1998,4521190
"new.row.2406","47300",1999,4692156
"new.row.2407","47300",2000,4843345
"new.row.2408","47300",2001,5260152
"new.row.2409","47300",2002,5341123
"new.row.2410","47300",2003,5760540
"new.row.2411","47300",2004,6597338
"new.row.2412","47300",2005,6997719
"new.row.2413","47300",2006,6890487
"new.row.2414","47300",2007,7779897
"new.row.2415","47300",2008,7620982
"new.row.2416","47300",2009,7074051
"new.row.2417","47300",2010,7596288
"new.row.2418","47300",2011,8526097
"new.row.2419","47300",2012,8553779
"new.row.2420","49700",1969,263666
"new.row.2421","49700",1970,276261
"new.row.2422","49700",1971,302548
"new.row.2423","49700",1972,332273
"new.row.2424","49700",1973,375739
"new.row.2425","49700",1974,431715
"new.row.2426","49700",1975,452951
"new.row.2427","49700",1976,443239
"new.row.2428","49700",1977,503936
"new.row.2429","49700",1978,541873
"new.row.2430","49700",1979,600879
"new.row.2431","49700",1980,666019
"new.row.2432","49700",1981,693426
"new.row.2433","49700",1982,673152
"new.row.2434","49700",1983,667278
"new.row.2435","49700",1984,777715
"new.row.2436","49700",1985,850354
"new.row.2437","49700",1986,883364
"new.row.2438","49700",1987,973210
"new.row.2439","49700",1988,1035005
"new.row.2440","49700",1989,1115198
"new.row.2441","49700",1990,1166474
"new.row.2442","49700",1991,1269180
"new.row.2443","49700",1992,1337285
"new.row.2444","49700",1993,1377755
"new.row.2445","49700",1994,1458845
"new.row.2446","49700",1995,1509693
"new.row.2447","49700",1996,1561543
"new.row.2448","49700",1997,1657175
"new.row.2449","49700",1998,1757267
"new.row.2450","49700",1999,1975287
"new.row.2451","49700",2000,2070118
"new.row.2452","49700",2001,2148623
"new.row.2453","49700",2002,2298269
"new.row.2454","49700",2003,2483637
"new.row.2455","49700",2004,2641344
"new.row.2456","49700",2005,2717364
"new.row.2457","49700",2006,2914218
"new.row.2458","49700",2007,3011143
"new.row.2459","49700",2008,3115215
"new.row.2460","49700",2009,3103868
"new.row.2461","49700",2010,3069693
"new.row.2462","49700",2011,3269844
"new.row.2463","49700",2012,3389976
"new.row.2464","14500",1969,417403
"new.row.2465","14500",1970,458848
"new.row.2466","14500",1971,518712
"new.row.2467","14500",1972,588658
"new.row.2468","14500",1973,654724
"new.row.2469","14500",1974,735013
"new.row.2470","14500",1975,820892
"new.row.2471","14500",1976,925068
"new.row.2472","14500",1977,1076354
"new.row.2473","14500",1978,1272006
"new.row.2474","14500",1979,1486804
"new.row.2475","14500",1980,1653025
"new.row.2476","14500",1981,1861336
"new.row.2477","14500",1982,2043033
"new.row.2478","14500",1983,2237996
"new.row.2479","14500",1984,2497459
"new.row.2480","14500",1985,2588014
"new.row.2481","14500",1986,2704391
"new.row.2482","14500",1987,2881945
"new.row.2483","14500",1988,3120502
"new.row.2484","14500",1989,3301113
"new.row.2485","14500",1990,3554146
"new.row.2486","14500",1991,3803947
"new.row.2487","14500",1992,4239797
"new.row.2488","14500",1993,4570914
"new.row.2489","14500",1994,4834934
"new.row.2490","14500",1995,5157566
"new.row.2491","14500",1996,5588456
"new.row.2492","14500",1997,6108932
"new.row.2493","14500",1998,6843197
"new.row.2494","14500",1999,7661616
"new.row.2495","14500",2000,8903549
"new.row.2496","14500",2001,8989477
"new.row.2497","14500",2002,8343589
"new.row.2498","14500",2003,8500162
"new.row.2499","14500",2004,8740936
"new.row.2500","14500",2005,9134269
"new.row.2501","14500",2006,9584219
"new.row.2502","14500",2007,9807408
"new.row.2503","14500",2008,10152494
"new.row.2504","14500",2009,9759163
"new.row.2505","14500",2010,9859967
"new.row.2506","14500",2011,10228944
"new.row.2507","14500",2012,10901149
"new.row.2508","17820",1969,662454
"new.row.2509","17820",1970,756407
"new.row.2510","17820",1971,828513
"new.row.2511","17820",1972,982679
"new.row.2512","17820",1973,1129668
"new.row.2513","17820",1974,1225323
"new.row.2514","17820",1975,1290309
"new.row.2515","17820",1976,1396331
"new.row.2516","17820",1977,1507371
"new.row.2517","17820",1978,1735725
"new.row.2518","17820",1979,1991233
"new.row.2519","17820",1980,2239499
"new.row.2520","17820",1981,2593438
"new.row.2521","17820",1982,2850200
"new.row.2522","17820",1983,3113814
"new.row.2523","17820",1984,3541233
"new.row.2524","17820",1985,3891948
"new.row.2525","17820",1986,4203008
"new.row.2526","17820",1987,4460483
"new.row.2527","17820",1988,4756573
"new.row.2528","17820",1989,4871756
"new.row.2529","17820",1990,4967442
"new.row.2530","17820",1991,5324582
"new.row.2531","17820",1992,5840316
"new.row.2532","17820",1993,6200017
"new.row.2533","17820",1994,6716546
"new.row.2534","17820",1995,7269117
"new.row.2535","17820",1996,7873317
"new.row.2536","17820",1997,8443402
"new.row.2537","17820",1998,9619214
"new.row.2538","17820",1999,10625252
"new.row.2539","17820",2000,11776887
"new.row.2540","17820",2001,12224539
"new.row.2541","17820",2002,12321434
"new.row.2542","17820",2003,12691394
"new.row.2543","17820",2004,13279712
"new.row.2544","17820",2005,14182309
"new.row.2545","17820",2006,14840900
"new.row.2546","17820",2007,15226296
"new.row.2547","17820",2008,15387164
"new.row.2548","17820",2009,15516387
"new.row.2549","17820",2010,16084438
"new.row.2550","17820",2011,16743151
"new.row.2551","17820",2012,17262862
"new.row.2552","19740",1969,3641356
"new.row.2553","19740",1970,4058530
"new.row.2554","19740",1971,4635606
"new.row.2555","19740",1972,5257061
"new.row.2556","19740",1973,5909082
"new.row.2557","19740",1974,6457799
"new.row.2558","19740",1975,7028817
"new.row.2559","19740",1976,7815273
"new.row.2560","19740",1977,8864250
"new.row.2561","19740",1978,10346130
"new.row.2562","19740",1979,11832325
"new.row.2563","19740",1980,13408530
"new.row.2564","19740",1981,15163098
"new.row.2565","19740",1982,16684654
"new.row.2566","19740",1983,17768302
"new.row.2567","19740",1984,19401990
"new.row.2568","19740",1985,20542878
"new.row.2569","19740",1986,21170311
"new.row.2570","19740",1987,21680153
"new.row.2571","19740",1988,22684473
"new.row.2572","19740",1989,24012765
"new.row.2573","19740",1990,25581794
"new.row.2574","19740",1991,27298415
"new.row.2575","19740",1992,29917015
"new.row.2576","19740",1993,32533197
"new.row.2577","19740",1994,34637991
"new.row.2578","19740",1995,37262994
"new.row.2579","19740",1996,40333444
"new.row.2580","19740",1997,43810434
"new.row.2581","19740",1998,49798028
"new.row.2582","19740",1999,55362911
"new.row.2583","19740",2000,62848627
"new.row.2584","19740",2001,66626928
"new.row.2585","19740",2002,66244987
"new.row.2586","19740",2003,66983579
"new.row.2587","19740",2004,70233378
"new.row.2588","19740",2005,74244813
"new.row.2589","19740",2006,79119444
"new.row.2590","19740",2007,81545241
"new.row.2591","19740",2008,86227712
"new.row.2592","19740",2009,82946937
"new.row.2593","19740",2010,85054003
"new.row.2594","19740",2011,90244339
"new.row.2595","19740",2012,95668275
"new.row.2596","22660",1969,191337
"new.row.2597","22660",1970,216556
"new.row.2598","22660",1971,256457
"new.row.2599","22660",1972,302128
"new.row.2600","22660",1973,350613
"new.row.2601","22660",1974,400725
"new.row.2602","22660",1975,464413
"new.row.2603","22660",1976,548082
"new.row.2604","22660",1977,636394
"new.row.2605","22660",1978,764848
"new.row.2606","22660",1979,903987
"new.row.2607","22660",1980,1007355
"new.row.2608","22660",1981,1107387
"new.row.2609","22660",1982,1197539
"new.row.2610","22660",1983,1319437
"new.row.2611","22660",1984,1458870
"new.row.2612","22660",1985,1558718
"new.row.2613","22660",1986,1673808
"new.row.2614","22660",1987,1797114
"new.row.2615","22660",1988,1934609
"new.row.2616","22660",1989,2097475
"new.row.2617","22660",1990,2280437
"new.row.2618","22660",1991,2449211
"new.row.2619","22660",1992,2703713
"new.row.2620","22660",1993,2959277
"new.row.2621","22660",1994,3230496
"new.row.2622","22660",1995,3460955
"new.row.2623","22660",1996,3836212
"new.row.2624","22660",1997,4154467
"new.row.2625","22660",1998,4588792
"new.row.2626","22660",1999,4974147
"new.row.2627","22660",2000,5683250
"new.row.2628","22660",2001,6208996
"new.row.2629","22660",2002,6269259
"new.row.2630","22660",2003,6270012
"new.row.2631","22660",2004,6491513
"new.row.2632","22660",2005,6761031
"new.row.2633","22660",2006,7131153
"new.row.2634","22660",2007,7381590
"new.row.2635","22660",2008,7505523
"new.row.2636","22660",2009,7336060
"new.row.2637","22660",2010,7472815
"new.row.2638","22660",2011,7878294
"new.row.2639","22660",2012,8295444
"new.row.2640","24300",1969,124386
"new.row.2641","24300",1970,135308
"new.row.2642","24300",1971,148507
"new.row.2643","24300",1972,164456
"new.row.2644","24300",1973,190048
"new.row.2645","24300",1974,225147
"new.row.2646","24300",1975,266593
"new.row.2647","24300",1976,299657
"new.row.2648","24300",1977,369530
"new.row.2649","24300",1978,431716
"new.row.2650","24300",1979,497390
"new.row.2651","24300",1980,575278
"new.row.2652","24300",1981,693473
"new.row.2653","24300",1982,741404
"new.row.2654","24300",1983,719956
"new.row.2655","24300",1984,699743
"new.row.2656","24300",1985,679004
"new.row.2657","24300",1986,635361
"new.row.2658","24300",1987,698858
"new.row.2659","24300",1988,775932
"new.row.2660","24300",1989,813205
"new.row.2661","24300",1990,883065
"new.row.2662","24300",1991,947660
"new.row.2663","24300",1992,1036844
"new.row.2664","24300",1993,1110113
"new.row.2665","24300",1994,1177537
"new.row.2666","24300",1995,1248125
"new.row.2667","24300",1996,1339664
"new.row.2668","24300",1997,1480564
"new.row.2669","24300",1998,1647197
"new.row.2670","24300",1999,1763604
"new.row.2671","24300",2000,1922110
"new.row.2672","24300",2001,1963956
"new.row.2673","24300",2002,2053698
"new.row.2674","24300",2003,2120360
"new.row.2675","24300",2004,2249596
"new.row.2676","24300",2005,2441080
"new.row.2677","24300",2006,2708350
"new.row.2678","24300",2007,2978736
"new.row.2679","24300",2008,3324344
"new.row.2680","24300",2009,3072266
"new.row.2681","24300",2010,2923326
"new.row.2682","24300",2011,3080728
"new.row.2683","24300",2012,3176122
"new.row.2684","24540",1969,210633
"new.row.2685","24540",1970,252927
"new.row.2686","24540",1971,278312
"new.row.2687","24540",1972,331311
"new.row.2688","24540",1973,394546
"new.row.2689","24540",1974,476088
"new.row.2690","24540",1975,507576
"new.row.2691","24540",1976,550495
"new.row.2692","24540",1977,550833
"new.row.2693","24540",1978,648226
"new.row.2694","24540",1979,719127
"new.row.2695","24540",1980,748086
"new.row.2696","24540",1981,856862
"new.row.2697","24540",1982,873120
"new.row.2698","24540",1983,940157
"new.row.2699","24540",1984,1048602
"new.row.2700","24540",1985,1072586
"new.row.2701","24540",1986,1107326
"new.row.2702","24540",1987,1157849
"new.row.2703","24540",1988,1233226
"new.row.2704","24540",1989,1337626
"new.row.2705","24540",1990,1404306
"new.row.2706","24540",1991,1476064
"new.row.2707","24540",1992,1611162
"new.row.2708","24540",1993,1811702
"new.row.2709","24540",1994,1928859
"new.row.2710","24540",1995,2024634
"new.row.2711","24540",1996,2229786
"new.row.2712","24540",1997,2448753
"new.row.2713","24540",1998,2785488
"new.row.2714","24540",1999,3140916
"new.row.2715","24540",2000,3490943
"new.row.2716","24540",2001,3824660
"new.row.2717","24540",2002,3797320
"new.row.2718","24540",2003,3813042
"new.row.2719","24540",2004,4021865
"new.row.2720","24540",2005,4280763
"new.row.2721","24540",2006,4527908
"new.row.2722","24540",2007,4746972
"new.row.2723","24540",2008,4914038
"new.row.2724","24540",2009,4682907
"new.row.2725","24540",2010,4789369
"new.row.2726","24540",2011,5165677
"new.row.2727","24540",2012,5535710
"new.row.2728","39380",1969,281047
"new.row.2729","39380",1970,303324
"new.row.2730","39380",1971,330028
"new.row.2731","39380",1972,369965
"new.row.2732","39380",1973,417074
"new.row.2733","39380",1974,460500
"new.row.2734","39380",1975,496091
"new.row.2735","39380",1976,537860
"new.row.2736","39380",1977,574329
"new.row.2737","39380",1978,636707
"new.row.2738","39380",1979,710844
"new.row.2739","39380",1980,748544
"new.row.2740","39380",1981,803028
"new.row.2741","39380",1982,767376
"new.row.2742","39380",1983,732703
"new.row.2743","39380",1984,768795
"new.row.2744","39380",1985,809487
"new.row.2745","39380",1986,837672
"new.row.2746","39380",1987,841849
"new.row.2747","39380",1988,898482
"new.row.2748","39380",1989,959419
"new.row.2749","39380",1990,1017790
"new.row.2750","39380",1991,1055108
"new.row.2751","39380",1992,1129711
"new.row.2752","39380",1993,1198721
"new.row.2753","39380",1994,1305712
"new.row.2754","39380",1995,1388153
"new.row.2755","39380",1996,1463546
"new.row.2756","39380",1997,1606324
"new.row.2757","39380",1998,1744910
"new.row.2758","39380",1999,1877739
"new.row.2759","39380",2000,2025678
"new.row.2760","39380",2001,2143191
"new.row.2761","39380",2002,2174565
"new.row.2762","39380",2003,2191290
"new.row.2763","39380",2004,2302704
"new.row.2764","39380",2005,2319904
"new.row.2765","39380",2006,2426056
"new.row.2766","39380",2007,2544274
"new.row.2767","39380",2008,2644379
"new.row.2768","39380",2009,2647830
"new.row.2769","39380",2010,2693614
"new.row.2770","39380",2011,2874294
"new.row.2771","39380",2012,2993903
"new.row.2772","14860",1969,3476631
"new.row.2773","14860",1970,3617221
"new.row.2774","14860",1971,3722300
"new.row.2775","14860",1972,3998742
"new.row.2776","14860",1973,4297476
"new.row.2777","14860",1974,4592248
"new.row.2778","14860",1975,4873658
"new.row.2779","14860",1976,5363939
"new.row.2780","14860",1977,6037721
"new.row.2781","14860",1978,6830734
"new.row.2782","14860",1979,7710636
"new.row.2783","14860",1980,8756198
"new.row.2784","14860",1981,9673263
"new.row.2785","14860",1982,10331708
"new.row.2786","14860",1983,11052018
"new.row.2787","14860",1984,12396719
"new.row.2788","14860",1985,13555630
"new.row.2789","14860",1986,14608089
"new.row.2790","14860",1987,16125977
"new.row.2791","14860",1988,18010951
"new.row.2792","14860",1989,18757612
"new.row.2793","14860",1990,18972053
"new.row.2794","14860",1991,19184521
"new.row.2795","14860",1992,21792350
"new.row.2796","14860",1993,22175608
"new.row.2797","14860",1994,22553118
"new.row.2798","14860",1995,24748135
"new.row.2799","14860",1996,26773651
"new.row.2800","14860",1997,28835716
"new.row.2801","14860",1998,32166501
"new.row.2802","14860",1999,34127468
"new.row.2803","14860",2000,37421041
